qmean7913,CC_Area_km2
2116998.155,1
1663631.242,1
1833660.782,1
1792286.136,1
1994254.719,1
1674396.037,1
2050518.907,1
1670360.022,1
2169689.057,1
2052833.194,1
1973917.527,1
2188915.339,1
1976724.766,1
1984403.617,1
2276229.859,1
2245641.912,1
2269483.161,1
2025229.379,1
2285253.831,1
2306608.025,1
2310043.765,1
2034416.912,1
2494118.582,1
1935404.638,1
1930062.922,1
2198170.478,1
1933520.711,1
2217612.736,1
1933578.232,1
2055003.753,1
2076865.73,1
1986961.759,1
1964140.22,1
1933018.204,1
1930655.508,1
2308038.541,1
1892940.144,1
2260186.536,1
1989718.358,1
4743635.101,1
2283280.459,1
2023844.331,1
2473118.045,1
1870412.911,1
2283379.265,1
1856698.88,1
1966578.112,1
2080306.322,1
1875010.458,1
2329333.111,1
1904226.174,1
1889341.383,1
2166253.896,1
2132498.685,1
1797973.209,1
4184188.643,1
1937158.623,1
2096791.736,1
3834767.869,1
4890034.867,1
2370531.004,1
4822543.643,1
2649175.254,1
4015222.524,1
2168954.856,1
1833530.983,1
4110675.835,1
2171758.472,1
5628415.52,1
2740909.26,1
5685931.927,1
1769640.81,1
2304217.265,1
2053470.552,1
5555918.187,1
5299934.252,1
2132085.309,1
4742006.791,1
1760148.228,1
2569236.207,1
1717448.423,1
2804894.856,1
2250777.352,1
2191008.778,1
2112690.143,1
4685725.155,1
2202020.285,1
2292040.034,1
2242215.372,1
2050050.088,1
2273276.891,1
2238467.719,1
2352082.313,1
4104108.507,1
2509508.006,1
2002314.709,1
2105742.613,1
1915394.05,1
1941517.091,1
1912123.565,1
2074630.396,1
1834371.768,1
2079366.582,1
1964489.365,1
4906972.086,1
2095136.726,1
2324324.039,1
2056635.543,1
2155604.952,1
2114360.379,1
2072526.357,1
2105928.033,1
4544920.66,1
2326425.534,1
1896489.855,1
1823773.558,1
2130857.962,1
1917604.804,1
2134263.561,1
2113858.122,1
2232135.269,1
1862388.38,1
1978339.198,1
1849783.449,1
2336645.858,1
2334167.844,1
2362409.883,1
4826832.749,1
1808825.502,1
2414251.505,1
2348230.398,1
2339562.045,1
1858844.458,1
1805489.483,1
4424799.34,1
1815916.534,1
2342290.244,1
4134923.748,1
1826408.57,1
1850628.745,1
2411895.162,1
2334041.068,1
2327126.801,1
2392376.374,1
1993410.848,1
1914553.295,1
2353581.908,1
1883831.096,1
2736817.633,1
2520622.883,1
4517720.814,1
2761091.251,1
2014592.283,1
2049339.302,1
2430943.369,1
1938854.7,1
2105540.191,1
2062333.532,1
2379477.063,1
2661577.314,1
2746277.408,1
2619507.18,1
2191776.816,1
1948417.075,1
2452980.14,1
2007804.096,1
2437962.632,1
2553739.335,1
2247511.609,1
2624167.045,1
2053031.836,1
2587891.452,1
2027137.13,1
2183309.671,1
2578329.579,1
2280888.253,1
2047277.572,1
2078055.949,1
2487787.07,1
2253645.85,1
2468800.418,1
4575995.155,1
2413124.597,1
2375778.015,1
2786435.449,1
2432294.12,1
2551772.524,1
2675535.302,1
2698139.365,1
2661172.857,1
2343724.261,1
2310449.941,1
2419883.794,1
2425944.251,1
2311011.269,1
2888897.181,1
2811462.236,1
2292492.867,1
2865838.403,1
2740478.098,1
2286286.823,1
2367477.795,1
2894267.741,1
2453197.663,1
2298059.568,1
2500997.8,1
2925486.026,1
2431937.873,1
2306066.242,1
2384863.391,1
2959747.142,1
2978235.766,1
2809473.365,1
2743764.884,1
2880523.925,1
2396036.257,1
2855722.033,1
4172560.261,1
4248396.988,1
2293118.789,1
2937057.535,1
2468116.017,1
2477147.164,1
3993853.635,1
4205386.487,1
2501496.541,1
4209574.867,1
4143613.528,1
2551185.892,1
2880254.204,1
3785416.275,1
4123517.484,1
3944989.5,1
4098271.191,1
2837459.852,1
4407315.158,1
4114900.18,1
2924245.606,1
4277821.205,1
2868583.411,1
4018299.026,1
2887658.9,1
2684640.567,1
2548899.874,1
2745094.402,1
2736154.613,1
4151609.815,1
4819986.545,1
2817004.777,1
2924484.955,1
3428699.784,1
3127699.977,1
3129073.556,1
4457010.834,1
3319274.79,1
3212386.466,1
3868532.789,1
3364769.024,1
3769676.794,1
3069077.171,1
3428375.175,1
3179743.996,1
3068048.489,1
4732612.214,1
3479911.602,1
3769555.646,1
4242814.981,1
5011568.518,1
4430023.573,1
3493125.225,1
4620895.801,1
5358440.907,1
4428540.704,1
3611915.646,1
3259156.071,1
3599413.48,1
2762661.39,1
3155108.885,1
3082024.584,1
3324152.51,1
3174495.298,1
2943149.274,1
3296543.078,1
3328180.635,1
3125132.307,1
3291523.033,1
2487255.324,1
3343772.142,1
5212925.418,1
2432580.376,1
5298280.217,1
5377079.871,1
2784668.961,1
2718479.606,1
3369938.272,1
2716094.828,1
3449399.094,1
2304685.362,1
4005016.443,1
2243649.366,1
5989201.75,1
3265672.023,1
5292336.314,1
5846772.871,1
4672576.845,1
2494097.52,1
2453013.545,1
3845184.067,1
2513242.014,1
2943739.821,1
2401091.355,1
3248815,1
1872859.722,1
2181148.609,1
1976499.356,1
2286995.911,1
2302368,1
2236424.365,1
1916033.726,1
2038429.842,1
2758839.335,1
4946438.851,1
2739425.604,1
2637953.804,1
2845868.277,1
4223413.156,1
2823306.914,1
2140249.907,1
2782640.117,1
2446033.199,1
2241377.886,1
5019222.458,1
2465106.603,1
5474456.787,1
5818600.619,1
5503548.439,1
3704273.134,1
3732878.432,1
5400024.803,1
4973855.725,1
6488918.058,1
5519695.672,1
2378388.165,1
5567058.074,1
2545982.778,1
5476570.448,1
5336868.744,1
6214717.019,1
3699178.399,1
4539428.648,1
3601971.598,1
2868497.845,1
2895709.972,1
4898617.558,1
3108960.09,1
2930450.436,1
4783916.432,1
3348134.672,1
4417800.195,1
2867118.383,1
2825907.357,1
2811789.045,1
2705781.599,1
2884807.984,1
4438630.404,1
4918058.539,1
4111636.391,1
3250463.555,1
2568825.841,1
2698612.013,1
3970244.867,1
4390439.929,1
4895178.967,1
2844851.981,1
2781244.031,1
3971639.823,1
4491763.966,1
4675415.606,1
4922999.63,1
4886673.563,1
3112181.186,1
4401783.749,1
4956270.945,1
4378283.035,1
4861068.622,1
2458874.995,1
3970437.129,1
3955934.77,1
4573432.704,1
4383550.549,1
2940750.071,1
3150992.747,1
3759975.436,1
4414450.757,1
3707390.158,1
2534888.011,1
4946729.271,1
4852926.116,1
3811540.979,1
2552299.355,1
4971465.551,1
4372863.144,1
2653869.13,1
2868502.823,1
2834968.349,1
2526769.275,1
4909297.358,1
4901986.45,1
2926766.76,1
4296316.26,1
4803990.185,1
4315038.771,1
4852534.271,1
4858410.74,1
4735734.549,1
5229567.637,1
4396919.923,1
4837988.545,1
4798613.151,1
4798007.177,1
4795591.235,1
4847413.118,1
4864105.536,1
4886468.019,1
4867140.187,1
2016144.438,1
2715736.762,1
3488368.013,1
4820171.969,1
4790511.535,1
2578018.74,1
3530450.92,1
3253508.403,1
3530269.005,1
4706669.512,1
3623873.377,1
3791154.82,1
4840897.145,1
4939924.905,1
2112456.108,1
3700405.772,1
4764191.454,1
4703914.698,1
1874732.26,1
2605899.202,1
2675922.194,1
3727998.166,1
5196264.59,1
5564891.275,1
4746847.95,1
2987941.034,1
3457076.479,1
4727629.661,1
4824014.687,1
4333690.068,1
3769575.896,1
2960048.28,1
2993116.301,1
2755741.839,1
2630671.992,1
3948619.748,1
4487223.074,1
4752099.876,1
4735129.687,1
3606121.093,1
2675702.304,1
3581143.311,1
3298502.56,1
2095667.32,1
4311419.965,1
5103423.443,1
4716785.081,1
