Water_year,FWD,CGD,Kodiak Island/Shekilof,Cook Inlet,Prince William Sound,Central Coast,Southeast
1979,796.9647129,23.35721342,2.391000981,4.150659108,5.897495741,5.479081514,5.43897608
1980,831.625663,23.47580119,2.390648513,3.429318757,5.737318891,5.90402664,6.014488394
1981,653.8193822,16.46854911,1.951340265,2.189669585,3.551593331,4.033050793,4.742895131
1982,711.37108,18.53522588,2.20349954,2.66102837,4.369287798,4.461786075,4.839624099
1983,671.5608541,17.51722294,2.113463518,2.688990595,3.867472413,4.2448401,4.602456313
1984,671.6058137,18.89399047,2.013827864,2.644537897,4.198133501,4.752371917,5.285119295
1985,657.1941036,18.2813787,2.14478477,2.369073006,4.161553323,4.654322397,4.951645209
1986,725.146223,21.22754622,2.544164827,3.253674119,5.092474523,5.143488424,5.193744323
1987,846.0102676,24.33131701,2.269303082,3.436590406,5.434886751,6.49227058,6.698266189
1988,718.1623316,17.49679095,1.888767449,2.449581341,4.185360567,4.443380628,4.529700962
1989,832.0482698,21.26506838,2.454291316,3.246248887,4.963938102,5.422933873,5.177656199
1990,754.9141108,19.69980197,2.233164153,2.697976014,4.359879914,4.999079067,5.409702822
1991,838.9577007,23.24304254,2.187952802,3.017123805,5.04028123,6.301303232,6.696381475
1992,739.067305,18.45566478,1.817547282,2.703455664,4.287415384,4.618663055,5.028583399
1993,803.805445,22.01264766,2.685344313,3.407282779,5.058692548,5.489502219,5.371825799
1994,688.9833191,19.74028386,2.299642229,2.901044517,4.495728807,5.007618047,5.036250263
1995,665.4175331,16.97482215,1.757193561,2.170495731,4.021725164,4.413512453,4.611895246
1996,680.7988992,16.4441135,1.654590199,2.115665492,3.824547443,4.229780224,4.619530141
1997,741.2565369,21.29076059,2.355792328,3.256153105,5.083267352,5.407592066,5.187955741
1998,697.0743355,18.49504771,1.949427107,2.619505074,3.805158869,4.393435354,5.727521306
1999,775.6199168,22.83973845,2.05820789,3.060852562,5.424272428,5.955188021,6.341217552
2000,798.092141,23.90209764,2.540381324,3.716109839,5.510972892,6.219475995,5.915157587
2001,745.5288526,19.12219339,2.150223932,2.639797682,4.213684585,4.665784549,5.452702642
2002,798.1241443,22.20790284,2.575436576,4.072263394,5.879166958,4.828462823,4.852573087
2003,815.9092592,19.82693177,2.172912328,3.077311842,4.402829792,4.683270194,5.490607614
2004,859.3049731,22.47423756,2.181812111,3.307165255,5.146275516,5.948863128,5.890121554
2005,788.9302238,22.23178937,2.195620525,3.028260713,5.118475569,5.863204955,6.02622761
2006,803.6080118,20.29047549,2.157487551,2.72229697,4.450488766,4.983265993,5.976936206
2007,749.0886135,21.47851611,2.489185184,3.362190709,4.92849043,5.149322815,5.549326967
2008,779.5753779,20.2165606,2.226761194,2.803173509,4.662398636,5.186398318,5.337828947
2009,758.7872305,21.33375951,2.633342678,3.219107392,5.116274593,5.021481664,5.343553184
2010,693.5671892,18.680069,1.951434963,2.616512517,4.408854716,4.880676506,4.822590295
2011,775.7925069,26.05202247,2.565700752,3.590260866,6.275608496,7.178757973,6.441694384
2012,752.182203,23.61150441,2.659741261,3.780740008,6.165720696,5.957568728,5.047733713
2013,807.2534112,26.64023193,2.975204751,3.902150707,6.246961944,7.475722526,6.040192005
