ID,lon,lat,qmean7913,q79,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99,q00,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,CC_Area_km2,Shape_Length,DL_km,Q_m2_yr,Q_A_norm_m_yr
12,-154.6422304,56.47228841,3729835.216,3853829.883,3501038.707,2932170.106,3431480.864,3772038.426,3565294.185,4086116.113,3762291.537,3666308.573,3286271.497,4036607.144,3954180.229,3557570.474,3032896.038,4534384.083,3580194.962,2897845.94,2785781.967,3890130.953,3376546.014,3610975.927,4352922.891,3462063.35,4085567.584,3333448.092,3920426.333,3615014.022,3127995.109,3990016.519,3746393.774,4189906.781,3462788.067,4139427.105,4733976.301,5270333,4,3000,1667,1243.278405,0.745967043
13,-154.6259772,56.47237401,2849781.086,2960781.038,2663806.683,2275029.588,2617551.284,2864866.325,2742891.597,3120055.815,2886241.88,2794399.674,2539963.925,3082675.141,3031545.928,2784925.514,2334975.771,3420055.644,2755740.292,2207328.3,2116401.354,2968298.323,2582579.422,2750577.349,3293218.093,2608558.147,3125939.391,2550305.498,3008937.916,2781890.938,2393863.403,3019719.89,2866446.086,3157220.388,2662886.589,3156723.383,3635671.625,3980265.8,2,5000,600,569.9562171,0.949927029
15,-154.6261305,56.48133876,2862531.935,2970505.164,2679085.886,2285765.594,2628496.812,2875650.727,2757411.125,3129389.895,2898907.234,2806837.577,2548735.743,3093461.791,3044158.709,2796235.122,2346049.77,3433724.77,2767736.965,2211943.432,2125194.614,2980605.822,2597938.202,2765203.383,3305932.779,2620129.236,3138597.015,2562062.416,3024145.962,2794014.614,2402033.081,3034191.245,2880205.728,3174830.818,2674002.173,3180492.35,3648055.158,4006886.8,3,7000,571,408.9331335,0.715632984
17,-154.5937613,56.49046811,10828472.42,11179027.67,10226090.88,8356439.586,9932193.557,11027021.09,10252822.12,11800036.99,10859017.52,10713107.2,9432592.214,11769717.64,11475924.09,10107797.42,8706764.621,13382570.34,10359965.01,8384080.404,8125091.356,11262035.67,9711869.205,10573413.86,12821320,10187565.31,11819964.99,9655261.181,11398172.97,10310090.52,9101025.817,11622574.17,10814076.1,12320878.26,9966985.921,12078066.76,13750695.25,15512279,11,7000,1714,1546.924631,0.902372702
19,-154.5776413,56.49951178,4535754.92,4692501.799,4283559.341,3513238.976,4142932.465,4601532.384,4304091.207,4932287.241,4546280.743,4489290.111,3972878.682,4924380.831,4807983.958,4280181.216,3650982.242,5573245.167,4355018.434,3493255.837,3395325.585,4710197.967,4070311.431,4438468.539,5355868.007,4251249.399,4946221.106,4037747.813,4789504.376,4336060.66,3821532.588,4866592.353,4537666.773,5129797.737,4182706.66,5073693.713,5776241.36,6468595.5,4,7000,714,647.9649886,0.907150984
21,-154.5615134,56.5085532,7715171.581,7945853.565,7360477.393,5771772.281,7031211.705,7948069.095,7208687.313,8351805.992,7646940.735,7707290.89,6617561.585,8421079.46,8149423.978,6964481.144,6093362.773,9736583.966,7334288.555,5959642.028,5840568.828,8009691.825,6841488.578,7658003.325,9332707.92,7421878.838,8388320.495,6836083.342,8114142.827,7182886.105,6507565.871,8378497.125,7640031.04,8933064.831,7010757.754,8671831.591,9796981.587,11217971,8,7000,1286,1102.167369,0.857241287
24,-154.5453776,56.51759237,2498585.124,2566748.587,2396602.674,1837710.601,2269662.581,2590855.838,2317961.272,2694560.068,2460121.514,2509867.565,2124455.887,2733161.006,2636400.835,2214250.627,1957653.417,3186629.382,2367779.855,1926454.744,1900431.518,2593443.044,2208859.734,2504779.407,3055843,2433047.366,2711109.751,2204893.364,2622114.36,2300026.103,2110725.695,2735738.326,2457874.5,2921135.289,2254261.886,2814335.807,3175568.734,3655415,2,7000,429,356.940732,0.832861708
25,-154.2687203,56.51852645,2116998.155,2218550.002,1968699.873,1748287.421,1898471.18,2075584.887,2028841.028,2295999.28,2170976.869,2053927.53,1906704.025,2264029.434,2233348.157,2177610.49,1742900.225,2458013.898,2065963.783,1600631.779,1548521.72,2177116.471,1906753.308,2015186.036,2374690.288,1894436.964,2322454.909,1899287.832,2250379.375,2082101.201,1810973.124,2228740.57,2127628.923,2287865.605,2002724.302,2440218.136,2790559.011,3026757.8,1,3000,667,705.6660518,1.058499078
32,-154.5292337,56.52662928,1662666.43,1708039.932,1594906.82,1220993.034,1507668.495,1726605.457,1539703.693,1789767.325,1634732.296,1672323.422,1412996.794,1823716.625,1754583.925,1473146.687,1301825.912,2118766.782,1576628.111,1279690.663,1264621.379,1724285.383,1470783.328,1668550.222,2034096.483,1619145.907,1802299.625,1464703.559,1747540.423,1530970.227,1404917.18,1824153.013,1636333.226,1942715.77,1498495.446,1872927.691,2114530.209,2436160,2,5000,600,332.533286,0.554222143
33,-154.5129562,56.52669962,1663631.242,1709546.462,1598221.955,1220151.738,1508760.295,1724392.25,1541881.852,1793029.722,1635672.969,1670818.868,1414453.124,1820206.974,1755772.014,1474413.272,1303727.62,2121291.58,1576387.239,1281257.616,1266024.896,1726151.685,1466627.188,1672223.902,2035016.107,1621415.202,1803206.301,1466176.954,1746617.742,1527746.106,1408483.427,1823689.874,1637967.227,1941417.135,1500256.536,1878473.129,2115901.699,2439712.8,1,4000,500,415.9078104,0.831815621
